Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
617,Tony Snell\snellto01,SF,27,MIL,74,12,1304,4.5,10.0,.452,2.2,5.6,.397,2.3,4.3,.522,1.0,1.2,.881,0.8,3.5,4.3,1.9,0.7,0.5,0.6,2.5,12.3
618,Ray Spalding\spaldra01,PF,21,TOT,14,3,148,6.1,11.4,.532,0.0,0.7,.000,6.1,10.7,.568,1.0,2.9,.333,3.6,8.0,11.7,1.2,2.2,1.9,2.2,5.6,13.1
619,Ray Spalding\spaldra01,PF,21,DAL,1,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
620,Ray Spalding\spaldra01,PF,21,PHO,13,3,147,6.1,11.5,.532,0.0,0.7,.000,6.1,10.8,.568,1.0,2.9,.333,3.7,8.1,11.8,1.2,2.2,2.0,2.2,5.6,13.2
621,Omari Spellman\spellom01,PF,21,ATL,46,11,805,4.4,10.9,.402,2.0,5.7,.344,2.4,5.2,.466,1.4,2.0,.711,3.2,5.5,8.7,2.1,1.2,1.1,1.4,3.0,12.2
622,Nik Stauskas\stausni01,SG,25,TOT,68,0,1015,4.8,12.0,.402,2.5,6.7,.372,2.3,5.3,.440,2.0,2.3,.891,0.6,3.9,4.5,2.9,0.7,0.2,1.8,1.8,14.2
623,Nik Stauskas\stausni01,SG,25,POR,44,0,673,5.1,12.2,.419,2.3,6.7,.344,2.8,5.6,.510,1.7,1.9,.889,0.5,3.7,4.3,3.3,0.7,0.2,2.1,1.7,14.3
624,Nik Stauskas\stausni01,SG,25,CLE,24,0,342,4.2,11.5,.367,2.8,6.6,.429,1.4,4.8,.283,2.6,2.9,.893,0.8,4.1,4.9,2.0,0.7,0.3,1.2,2.0,13.9
625,D.J. Stephens\stephdj01,SG,28,MEM,1,0,7,5.1,10.3,.500,0.0,0.0,,5.1,10.3,.500,0.0,0.0,,0.0,0.0,0.0,0.0,5.1,0.0,5.1,0.0,10.3
626,Lance Stephenson\stephla01,SG,28,LAL,68,3,1123,5.9,13.8,.426,2.3,6.3,.371,3.6,7.5,.472,1.6,2.3,.685,1.0,5.9,6.9,4.5,1.3,0.2,2.8,3.6,15.7
627,Edmond Sumner\sumneed01,PG,23,IND,23,2,210,3.8,11.0,.344,1.2,4.6,.259,2.6,6.3,.405,2.6,4.1,.625,1.5,2.6,4.1,1.7,2.1,0.9,1.7,4.5,11.3
628,Caleb Swanigan\swanica01,PF,21,TOT,21,0,178,3.6,10.7,.340,0.2,1.4,.143,3.4,9.3,.370,1.2,1.8,.667,3.4,9.5,12.9,2.2,1.2,0.2,3.6,5.7,8.7
629,Caleb Swanigan\swanica01,PF,21,POR,18,0,145,3.5,10.9,.318,0.2,1.2,.200,3.2,9.7,.333,1.5,1.7,.857,3.2,9.7,12.9,1.7,1.0,0.0,4.0,5.5,8.7
630,Caleb Swanigan\swanica01,PF,21,SAC,3,0,33,4.4,9.8,.444,0.0,2.2,.000,4.4,7.6,.571,0.0,2.2,.000,4.4,8.7,13.1,4.4,2.2,1.1,2.2,6.5,8.7
631,Jayson Tatum\tatumja01,SF,20,BOS,79,79,2455,6.8,15.2,.450,1.7,4.6,.373,5.1,10.6,.483,2.9,3.3,.855,1.0,6.0,7.0,2.5,1.2,0.8,1.8,2.5,18.2
632,Jeff Teague\teaguje01,PG,30,MIN,42,41,1264,5.0,11.8,.423,1.0,3.0,.333,4.0,8.9,.453,3.5,4.4,.804,0.5,2.6,3.0,9.8,1.2,0.5,2.8,2.6,14.5
633,Garrett Temple\templga01,SG,32,TOT,75,55,2040,3.7,8.7,.422,1.6,4.7,.341,2.1,4.0,.515,1.4,1.9,.748,0.5,3.3,3.8,1.9,1.3,0.5,1.2,3.6,10.3
634,Garrett Temple\templga01,SG,32,MEM,49,49,1530,3.9,9.1,.429,1.7,4.9,.352,2.2,4.2,.520,1.3,1.8,.750,0.4,3.2,3.6,1.6,1.2,0.6,1.3,3.2,10.9
635,Garrett Temple\templga01,SG,32,LAC,26,6,510,3.0,7.5,.396,1.1,3.8,.296,1.8,3.7,.500,1.6,2.2,.742,0.7,3.8,4.5,2.6,1.8,0.4,1.1,4.9,8.7
636,Miloš Teodosić\teodomi01,PG,31,LAC,15,0,150,4.1,9.6,.425,2.4,6.5,.370,1.7,3.1,.538,1.0,1.7,.571,0.7,3.1,3.8,7.7,0.7,0.2,5.0,6.5,11.5
637,Jared Terrell\terreja01,SG,23,MIN,14,0,111,3.9,12.6,.308,1.3,5.5,.235,2.6,7.1,.364,1.0,1.9,.500,0.3,1.6,1.9,3.9,1.0,0.6,3.2,5.2,10.1
638,Emanuel Terry\terryem01,PF,22,TOT,3,0,23,6.3,11.0,.571,0.0,0.0,,6.3,11.0,.571,3.1,6.3,.500,4.7,6.3,11.0,3.1,4.7,0.0,3.1,6.3,15.7
639,Emanuel Terry\terryem01,PF,22,PHO,2,0,20,7.2,10.8,.667,0.0,0.0,,7.2,10.8,.667,1.8,3.6,.500,3.6,7.2,10.8,1.8,5.4,0.0,3.6,7.2,16.2
640,Emanuel Terry\terryem01,PF,22,MIA,1,0,3,0.0,12.0,.000,0.0,0.0,,0.0,12.0,.000,12.0,24.0,.500,12.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,12.0
641,Daniel Theis\theisda01,C,26,BOS,66,2,908,5.8,10.5,.549,1.0,2.7,.388,4.8,7.9,.603,2.2,3.0,.737,3.4,5.5,8.9,2.7,0.8,1.7,1.3,6.4,14.8
